Latitude,Longitude,Time
39.348609,-94.780661,00:51:09
38.943768,-94.688414,02:07:37
38.907021,-94.670936,23:02:11
38.943768,-94.688414,22:31:10
39.063013,-94.618943,20:57:39
39.063013,-94.618943,20:54:35
39.05242,-94.591119,20:25:04
39.05242,-94.591119,20:18:59
39.05242,-94.591119,20:07:56
39.05242,-94.591119,19:39:56
39.05242,-94.591119,16:43:19
39.05242,-94.591119,15:49:39
38.943768,-94.688414,03:00:51
39.09408,-94.423748,23:12:25
39.09408,-94.423748,23:08:18
39.09408,-94.423748,23:03:25
39.09408,-94.423748,13:55:24
39.09408,-94.423748,13:44:15
38.943768,-94.688414,15:24:22
38.943768,-94.688414,02:06:16
38.956688,-94.714851,02:05:23
38.929068,-94.741137,01:09:08
38.929068,-94.741137,01:00:21
38.929068,-94.741137,00:52:24
38.929068,-94.741137,00:44:19
38.943768,-94.688414,14:46:55
38.943768,-94.688414,00:56:44
39.057217,-94.603855,23:49:42
39.05242,-94.591119,22:06:26
39.05242,-94.591119,20:15:31
39.05242,-94.591119,19:58:15
39.05242,-94.591119,19:42:51
38.943768,-94.688414,19:22:31
38.943768,-94.688414,19:19:54
38.926205,-94.686353,18:45:14
38.926205,-94.686353,17:58:06
38.926861,-94.686315,17:46:27
38.910699,-94.723818,15:08:03
38.943768,-94.688414,19:08:37
38.943768,-94.688414,04:41:38
39.05242,-94.591119,18:39:50
39.05242,-94.591119,18:33:15
38.993138,-94.663927,16:23:43
39.05242,-94.591119,15:39:58
38.943768,-94.688414,12:49:01
38.943768,-94.688414,12:31:55
38.943768,-94.688414,22:26:38
39.053043,-94.590333,14:45:51
39.053043,-94.590333,13:09:19
38.943768,-94.688414,04:27:18
38.971638,-94.715946,03:25:14
38.971638,-94.715946,03:24:35
38.943768,-94.688414,01:35:03
38.943768,-94.688414,01:34:12
38.915852,-94.7238,00:00:17
38.943768,-94.688414,22:23:25
38.943768,-94.688414,16:52:13
38.943768,-94.688414,22:21:02
38.943768,-94.688414,22:11:08
38.943768,-94.688414,22:07:41
38.943768,-94.688414,21:53:58
38.943768,-94.688414,19:44:55
38.943768,-94.688414,23:54:06
39.348609,-94.780661,13:33:28
39.348609,-94.780661,13:31:41
39.297867,-94.716065,13:11:02
38.943768,-94.688414,05:28:46
39.091534,-94.578128,04:18:27
39.091534,-94.578128,01:33:16
39.091534,-94.578128,00:45:03
39.091534,-94.578128,00:16:31
38.943768,-94.688414,21:37:11
38.943768,-94.688414,20:38:38
38.943768,-94.688414,18:36:30
38.943768,-94.688414,18:34:31
39.052379,-94.591041,17:59:19
39.052379,-94.591041,17:56:48
39.052029,-94.590811,17:20:07
39.052029,-94.590811,16:56:37
39.052029,-94.590811,16:52:05
39.052029,-94.590811,16:51:42
39.053106,-94.590352,14:57:49
39.053106,-94.590352,14:36:13
38.943768,-94.688414,04:09:25
38.943768,-94.688414,02:39:12
38.943768,-94.688414,02:20:38
38.98444,-94.672114,01:40:27
38.98444,-94.672114,01:38:36
38.98444,-94.672114,01:36:04
38.98444,-94.672114,01:13:38
38.98444,-94.672114,01:08:23
38.98444,-94.672114,00:48:15
38.98444,-94.672114,00:40:25
38.98444,-94.672114,00:36:44
38.98444,-94.672114,23:56:50
38.98444,-94.672114,23:56:24
38.98444,-94.672114,23:56:10
38.943768,-94.688414,19:53:38
38.943768,-94.688414,18:19:46
